CVE;advisory name;advisory URL;unknown PoC;Github PoC;Curl PoC;XML PoC;
CVE-2023-44487;SNYK-AMZN2023-NGINXFILESYSTEM-5971059;https://security.snyk.io/vuln/SNYK-AMZN2023-NGINXFILESYSTEM-5971059;yes;no;no;no;
CVE-2023-44487;SNYK-AMZN2023-NGINXMODDEVEL-5971065;https://security.snyk.io/vuln/SNYK-AMZN2023-NGINXMODDEVEL-5971065;yes;no;no;no;
CVE-2023-44487;SNYK-AMZN2023-NGINXMODHTTPIMAGEFILTER-5971091;https://security.snyk.io/vuln/SNYK-AMZN2023-NGINXMODHTTPIMAGEFILTER-5971091;yes;no;no;no;
CVE-2023-44487;SNYK-AMZN2023-NGINXMODHTTPIMAGEFILTERDEBUGINFO-5971047;https://security.snyk.io/vuln/SNYK-AMZN2023-NGINXMODHTTPIMAGEFILTERDEBUGINFO-5971047;yes;no;no;no;
CVE-2023-44487;SNYK-AMZN2023-NGINXMODHTTPPERL-5971069;https://security.snyk.io/vuln/SNYK-AMZN2023-NGINXMODHTTPPERL-5971069;yes;no;no;no;
CVE-2023-44487;SNYK-AMZN2023-NGINXMODHTTPPERLDEBUGINFO-5971102;https://security.snyk.io/vuln/SNYK-AMZN2023-NGINXMODHTTPPERLDEBUGINFO-5971102;yes;no;no;no;
CVE-2023-44487;SNYK-AMZN2023-NGINXMODHTTPXSLTFILTER-5971042;https://security.snyk.io/vuln/SNYK-AMZN2023-NGINXMODHTTPXSLTFILTER-5971042;yes;no;no;no;
CVE-2023-44487;SNYK-AMZN2023-NGINXMODHTTPXSLTFILTERDEBUGINFO-5971043;https://security.snyk.io/vuln/SNYK-AMZN2023-NGINXMODHTTPXSLTFILTERDEBUGINFO-5971043;yes;no;no;no;
CVE-2023-44487;SNYK-AMZN2023-NGINXMODMAIL-5971089;https://security.snyk.io/vuln/SNYK-AMZN2023-NGINXMODMAIL-5971089;yes;no;no;no;
CVE-2023-44487;SNYK-AMZN2023-NGINXMODMAILDEBUGINFO-5971071;https://security.snyk.io/vuln/SNYK-AMZN2023-NGINXMODMAILDEBUGINFO-5971071;yes;no;no;no;
CVE-2023-44487;SNYK-AMZN2023-NGINXMODSTREAM-5971066;https://security.snyk.io/vuln/SNYK-AMZN2023-NGINXMODSTREAM-5971066;yes;no;no;no;
CVE-2023-44487;SNYK-AMZN2023-NGINXMODSTREAMDEBUGINFO-5971075;https://security.snyk.io/vuln/SNYK-AMZN2023-NGINXMODSTREAMDEBUGINFO-5971075;yes;no;no;no;
CVE-2023-44487;SNYK-AMZN2023-NODEJS-5971056;https://security.snyk.io/vuln/SNYK-AMZN2023-NODEJS-5971056;yes;no;no;no;
CVE-2023-44487;SNYK-AMZN2023-NODEJSDEBUGINFO-5971087;https://security.snyk.io/vuln/SNYK-AMZN2023-NODEJSDEBUGINFO-5971087;yes;no;no;no;
CVE-2023-44487;SNYK-AMZN2023-NODEJSDEBUGSOURCE-5971032;https://security.snyk.io/vuln/SNYK-AMZN2023-NODEJSDEBUGSOURCE-5971032;yes;no;no;no;
CVE-2023-44487;SNYK-AMZN2023-NODEJSDEVEL-5971104;https://security.snyk.io/vuln/SNYK-AMZN2023-NODEJSDEVEL-5971104;yes;no;no;no;
CVE-2023-44487;SNYK-AMZN2023-NODEJSDOCS-5971068;https://security.snyk.io/vuln/SNYK-AMZN2023-NODEJSDOCS-5971068;yes;no;no;no;
CVE-2023-44487;SNYK-AMZN2023-NODEJSFULLI18N-5971103;https://security.snyk.io/vuln/SNYK-AMZN2023-NODEJSFULLI18N-5971103;yes;no;no;no;
CVE-2023-44487;SNYK-AMZN2023-NODEJSLIBS-5971084;https://security.snyk.io/vuln/SNYK-AMZN2023-NODEJSLIBS-5971084;yes;no;no;no;
CVE-2023-44487;SNYK-AMZN2023-NODEJSLIBSDEBUGINFO-5971036;https://security.snyk.io/vuln/SNYK-AMZN2023-NODEJSLIBSDEBUGINFO-5971036;yes;no;no;no;
CVE-2023-44487;SNYK-AMZN2023-NODEJSNPM-5971086;https://security.snyk.io/vuln/SNYK-AMZN2023-NODEJSNPM-5971086;yes;no;no;no;
